Name,Price,Image URL
Keto-Diastix Reagent Strip For Urinalysis,₹315,https://cdn01.pharmeasy.in/dam/products_otc/A90444/keto-diastix-reagent-strip-for-urinalysis-2-1671745091.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Orthopaedic Electric Heat Belt - Extra Large,₹1099,https://cdn01.pharmeasy.in/dam/products_otc/G92287/pharmeasy-orthopaedic-electric-heat-belt-extra-large-6.01-1727327367.jpg?dim=700x0&dpr=1&q=100
Furr By Pee Safe Face Razor For Women | Eyebrows | Upper Lip | Forehead | Chin | White | Pack Of 2,₹249,https://cdn01.pharmeasy.in/dam/products_otc/W98427/furr-by-pee-safe-face-razor-for-women-eyebrows-upper-lip-forehead-chin-white-pack-of-2-2-1721023338.jpg?dim=700x0&dpr=1&q=100
Accusure Td Bp Monitor,₹1520,https://cdn01.pharmeasy.in/dam/products_otc/H17850/accusure-td-bp-monitor-2-1671742131.jpg?dim=700x0&dpr=1&q=100
Omron Hem 7143t1 Digital Bluetooth Blood Pressure Monitor,₹3760,https://cdn01.pharmeasy.in/dam/products_otc/V25520/omron-hem-7143t1-digital-bluetooth-blood-pressure-monitor-2-1673941715.jpg?dim=700x0&dpr=1&q=100
Accu-Chek Softclix Lancet 25'S Pack,₹125,https://cdn01.pharmeasy.in/dam/products_otc/000685/accu-chek-softclix-lancet-25s-pack-2-1671741296.jpg?dim=700x0&dpr=1&q=100
Control D Air Mattress,₹3999,https://cdn01.pharmeasy.in/dam/products_otc/J99094/control-d-air-mattress-1-1654165590.jpg?dim=700x0&dpr=1&q=100
Omron Hem-8712 Bp Monitor,₹2490,https://cdn01.pharmeasy.in/dam/products_otc/I06297/omron-hem-8712-bp-monitor-2-1685110336.jpg?dim=700x0&dpr=1&q=100
Omron Ac Adapter Bp Monitor Device 1,₹600,https://cdn01.pharmeasy.in/dam/products_otc/A32222/omron-ac-adapter-bp-monitor-device-1-2-1698413545.jpg?dim=700x0&dpr=1&q=100
Contour Ts Gluco Strips 25`S,₹700,https://cdn01.pharmeasy.in/dam/products_otc/209212/contour-ts-gluco-strips-25s-2-1671740694.jpg?dim=700x0&dpr=1&q=100
Accu-Chek Instant Meter With 10 Strips + Accu-Chek Instant 25 Strips,₹2344,https://cdn01.pharmeasy.in/dam/products_otc/L12772/accu-chek-instant-meter-with-10-strips-accu-chek-instant-25-strips-2-1671742540.jpg?dim=700x0&dpr=1&q=100
Accu-Chek Guide Strip - 50'S,₹1490,https://cdn01.pharmeasy.in/dam/products_otc/C92865/accu-chek-guide-strip-50s-1-1646384179.jpg?dim=700x0&dpr=1&q=100
Onetouch Verio Flex Glucometer Machine | Free 10 Test Strips + 10 Sterile Lancets + 1 Lancing Device,₹1380,https://cdn01.pharmeasy.in/dam/products_otc/X40196/onetouch-verio-flex-glucometer-machine-free-10-test-strips-10-sterile-lancets-1-lancing-device-2-1699452152.jpg?dim=700x0&dpr=1&q=100
Newnik Pse201 Digital Electronic Personal Scale & Weigh Machine Grey,₹2499,https://cdn01.pharmeasy.in/dam/products_otc/C25254/newnik-pse201-digital-electronic-personal-scale-weigh-machine-grey-2-1664196933.jpg?dim=700x0&dpr=1&q=100
Arkray G+ Blood Glucose Monitor Meter With 25 Individually Packed Strips,₹849,https://cdn01.pharmeasy.in/dam/products_otc/W83878/arkray-g-blood-glucose-monitor-meter-with-25-individually-packed-strips-2-1689068133.jpg?dim=700x0&dpr=1&q=100
Pul Fingertip Pulse Oximeter,₹1999,https://cdn01.pharmeasy.in/dam/products_otc/T27314/pul-fingertip-pulse-oximeter-2-1641789118.jpg?dim=700x0&dpr=1&q=100
Accusure Simple Blood Glucose Test Strip - 50 Strips With 25 Free S.S Premium Round Lancets,₹1150,https://cdn01.pharmeasy.in/dam/products_otc/B17540/accusure-simple-blood-glucose-test-strip-50-strips-with-25-free-ss-premium-round-lancets-2-1692266289.jpg?dim=700x0&dpr=1&q=100
Omron Hn-289 Weighing Scale,₹2240,https://cdn01.pharmeasy.in/dam/products_otc/V35573/omron-hn-289-weighing-scale-2-1641790916.jpg?dim=700x0&dpr=1&q=100
Onetouch Select Test Strips | Pack Of 50 Strips |For Use With Onetouch Select Simple Glucometer,₹1295,https://cdn01.pharmeasy.in/dam/products_otc/131679/onetouch-select-test-strips-pack-of-50-strips-for-use-with-onetouch-select-simple-glucometer-6.1-1738850033.jpg?dim=700x0&dpr=1&q=100
Medtech Blood Pressure Monitor Bp18,₹2090,https://cdn01.pharmeasy.in/dam/products_otc/M70488/medtech-blood-pressure-monitor-bp18-2-1676598705.jpg?dim=700x0&dpr=1&q=100
Accu-Chek Active 100 (50x2) Test Strips + 4 Pack Of Softclix Lancet 25 Combikit,₹2498,https://cdn01.pharmeasy.in/dam/products_otc/R85418/accu-chek-active-100-50x2-test-strips-4-pack-of-softclix-lancet-25-combikit-2-1671742432.jpg?dim=700x0&dpr=1&q=100
Accusure Pulse Oximeter,₹2299,https://cdn01.pharmeasy.in/dam/products_otc/P91768/accusure-pulse-oximeter-2-1671741866.jpg?dim=700x0&dpr=1&q=100
Accusure Simple Blood Glucose Test Strip - 50 Strips,₹1150,https://cdn01.pharmeasy.in/dam/products_otc/Y96772/accusure-simple-blood-glucose-test-strip-50-strips-2-1654233088.jpg?dim=700x0&dpr=1&q=100
Arkray Max Glucocard 01-Mini Glucometer (Black),₹1490,https://cdn01.pharmeasy.in/dam/products_otc/F20721/arkray-max-glucocard-01-mini-glucometer-black-2-1738997749.jpg?dim=700x0&dpr=1&q=100
Covifind Covid-19 Rapid Antigen Self Test - Accurate Ai-Powered | Fast Result In 15 Min | Pack Of 10,₹2500,https://cdn01.pharmeasy.in/dam/products_otc/T06467/covifind-covid-19-rapid-antigen-self-test-accurate-ai-powered-fast-result-in-15-min-pack-of-10-2-1632784545.jpg?dim=700x0&dpr=1&q=100
