Name,Price,Image URL
Moisturex Soft Cream 300gm,₹800,https://cdn01.pharmeasy.in/dam/products_otc/254819/moisturex-soft-cream-300gm-2-1726469609.jpg?dim=700x0&dpr=1&q=100
Ethiglo Skin Whitening Face Wash 70gm,₹260,https://cdn01.pharmeasy.in/dam/products_otc/B68043/ethiglo-skin-whitening-face-wash-70-gm-6.1-1732169263.jpg?dim=700x0&dpr=1&q=100
Sensodyne Sensitive Fresh Gel Toothpaste Tube Of 75 G,₹140,https://cdn01.pharmeasy.in/dam/products_otc/329876/sensodyne-sensitive-fresh-gel-toothpaste-tube-of-75-g-2-1671741183.jpg?dim=700x0&dpr=1&q=100
Bontress Pro + Scalp Serum Tetrapeptides Bottle Of 60ml,₹1500,https://cdn01.pharmeasy.in/dam/products_otc/J27752/bontress-pro-scalp-serum-tetrapeptides-bottle-of-60ml-6.1-1731306104.jpg?dim=700x0&dpr=1&q=100
Ahaglow Advanced Tube Of 100gm Face Wash Gel,₹565,https://cdn01.pharmeasy.in/dam/products_otc/L02209/ahaglow-advanced-tube-of-100gm-face-wash-gel-2-1692250093.jpg?dim=700x0&dpr=1&q=100
Blynds Emulgel Spf 40 Plus Gel 50gm,₹530,https://cdn01.pharmeasy.in/dam/products/D19713/blynds-emulgel-spf-40-plus-gel-50gm-1-1664872092.jpg?dim=700x0&dpr=1&q=100
New Olesoft Max Cream 150gm,₹478,https://cdn01.pharmeasy.in/dam/products_otc/I42507/new-olesoft-max-cream-150gm-2-1692251580.jpg?dim=700x0&dpr=1&q=100
Moisturex Soft Lotion 100ml,₹415,https://cdn01.pharmeasy.in/dam/products_otc/269431/moisturex-soft-lotion-100ml-2-1722684046.jpg?dim=700x0&dpr=1&q=100
Revital H Men Multivitamin With Calcium Zinc & Ginseng For Immunity Strong Bones (60 Capsules),₹600,https://cdn01.pharmeasy.in/dam/products_otc/281751/revital-h-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-60-capsules-6.1-1729854506.jpg?dim=700x0&dpr=1&q=100
Nivea Body Milk Moisturizing Lotion Bottle Of 400 Ml,₹495,https://cdn01.pharmeasy.in/dam/products_otc/I40905/nivea-body-milk-moisturizing-lotion-bottle-of-400-ml-2-1679372245.jpg?dim=700x0&dpr=1&q=100
Revital H Men Multivitamin With Calcium Zinc & Ginseng For Immunity Strong Bones (30 Capsules),₹330,https://cdn01.pharmeasy.in/dam/products_otc/270552/revital-h-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-30-capsules-6.1-1729854579.jpg?dim=700x0&dpr=1&q=100
Ahaglow S Bottle Of 100ml Foaming Face Wash,₹798,https://cdn01.pharmeasy.in/dam/products_otc/I48252/ahaglow-s-foaming-face-wash-salicylic-acid-glycolic-acid-bottle-100-ml-2-1726648891.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Neem - Immunity Booster - Hair & Skin Detoxifier - Bottle Of 60,₹599,https://cdn01.pharmeasy.in/dam/products_otc/D41806/everherb-by-pharmeasy-neem-immunity-booster-hair-skin-detoxifier-bottle-of-60-6.1-1732283466.jpg?dim=700x0&dpr=1&q=100
Biosilk Tube Of 100gm Moisturizing Cream,₹436,https://cdn01.pharmeasy.in/dam/products_otc/P49979/biosilk-tube-of-100gm-moisturizing-cream-1-1664868840.jpg?dim=700x0&dpr=1&q=100
Eyemist Tube Of 10gm Eye Gel,₹450,https://cdn01.pharmeasy.in/dam/products_otc/072461/eyemist-tube-of-10gm-eye-gel-1-1671741403.jpg?dim=700x0&dpr=1&q=100
Anaboom Anti Hair Fall Shampoo 100ml,₹455,https://cdn01.pharmeasy.in/dam/products_otc/I37166/anaboom-anti-hair-fall-shampoo-100ml-2-1737185615.jpg?dim=700x0&dpr=1&q=100
Venusia Derm Moisturizing Cream For Face & Body Nourishes Dry Skin Relieves Skin Irritation 75g,₹365.5,https://cdn01.pharmeasy.in/dam/products_otc/X44145/venusia-derm-moisturizing-cream-for-face-body-nourishes-dry-skin-relieves-skin-irritation-75g-2-1691231829.jpg?dim=700x0&dpr=1&q=100
Lacto Calamine Sun Screen | Sunscreen Spf 50 Pa +++Uva Uvb | Kaolin Clay Matte Look - 50gm,₹199,https://cdn01.pharmeasy.in/dam/products_otc/L41969/lacto-calamine-daily-sunscreen-matte-look-sunscreen-spf-50-pa-uva-uvb-50g-2-1672838386.jpg?dim=700x0&dpr=1&q=100
New Whisper Ultra Soft Xl 50 (284mm) Sanitary Pads,N/A,https://cdn01.pharmeasy.in/dam/products_otc/L92149/new-whisper-ultra-soft-xl-50-284mm-sanitary-pads-2-1690889830.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,₹799,https://cdn01.pharmeasy.in/dam/products_otc/Z08870/pharmeasy-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-6.01-1736147742.jpg?dim=700x0&dpr=1&q=100
Omnident Gel 70gm,₹152,https://cdn01.pharmeasy.in/dam/products_otc/241498/omnident-gel-70gm-1-1671741854.jpg?dim=700x0&dpr=1&q=100
Senquel F Fast Relief & Enamel Protection For Sensitive Teeth Sugar Free Toothpaste 100 Gm,₹194,https://cdn01.pharmeasy.in/dam/products_otc/O90233/senquel-f-fast-relief-enamel-protection-for-sensitive-teeth-sugar-free-toothpaste-100-gm-1-1734935224.jpg?dim=700x0&dpr=1&q=100
Photostable Gold Matte Finish Spf 55 Sunscreen Gel 50g,₹881,https://cdn01.pharmeasy.in/dam/products_otc/I37851/photostable-gold-matte-finish-spf-55-sunscreen-gel-50g-1-1727670277.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Diabetic Care - Bottle Of 60,₹999,https://cdn01.pharmeasy.in/dam/products_otc/F14789/everherb-by-pharmeasy-diabetic-care-bottle-of-60-6.01-1741171891.jpg?dim=700x0&dpr=1&q=100
Liveasy Essentials Tongue Cleaner (Pack Of 2),₹99,https://cdn01.pharmeasy.in/dam/products_otc/H12065/liveasy-essentials-tongue-cleaner-pack-of-2-1-1654256934.jpg?dim=700x0&dpr=1&q=100
Calcimax 500 Health Supplement Tablets (500 Mg Of Calcium) Strip Of 30,₹405,https://cdn01.pharmeasy.in/dam/products_otc/031531/calcimax-500-health-supplement-tablets-500-mg-of-calcium-box-of-30-2-1702961571.jpg?dim=700x0&dpr=1&q=100
Cheerio 0.35% Oral Gel 75gm,₹174.5,https://cdn01.pharmeasy.in/dam/products_otc/191873/cheerio-035-oral-gel-75gm-1-1669655250.jpg?dim=700x0&dpr=1&q=100
Ayouthveda Acne Enemy Face Wash,₹159,https://cdn01.pharmeasy.in/dam/products_otc/W63580/ayouthveda-acne-enemy-face-wash-2-1695119804.jpg?dim=700x0&dpr=1&q=100
Acne Uv Spf 30 Tube Of 30gm Gel,₹481.5,https://cdn01.pharmeasy.in/dam/products_otc/I01828/acne-uv-spf-30-tube-of-30gm-gel-1-1683202171.jpg?dim=700x0&dpr=1&q=100
Sensodyne Sensitive Rapid Relief Toothpaste Tube Of 80 G,₹210,https://cdn01.pharmeasy.in/dam/products_otc/I08007/sensodyne-sensitive-rapid-relief-toothpaste-tube-of-80-g-2-1669655282.jpg?dim=700x0&dpr=1&q=100
