Name,Price,Image URL
Triomega Stip Of 15 Softgel Capsules,₹257,https://cdn01.pharmeasy.in/dam/products_otc/194811/triomega-stip-of-15-softgel-capsules-1-1707202582.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Shilajit 500mg-Vigour Improvement-Strength & Stamina For Men-Bottle Of 60,₹999,https://cdn01.pharmeasy.in/dam/products_otc/N70299/everherb-by-pharmeasy-shilajit-500mg-vigour-improvement-strength-stamina-for-men-bottle-of-60-6.01-1727327652.jpg?dim=700x0&dpr=1&q=100
Nutrabay Pro Zinc Magnesium With Vitamin B6 (Zma) | Anti Stress & Anxiety Relief - 60 Veg Tablets,₹629,https://cdn01.pharmeasy.in/dam/products_otc/O72393/nutrabay-pro-zinc-magnesium-with-vitamin-b6-zma-anti-stress-anxiety-relief-60-veg-tablets-2-1737940488.jpg?dim=700x0&dpr=1&q=100
Pure Nutrition Vitamin C L Vitamin C Tablets For Immunity & Glowing Skin L - 60 Tablets,₹599,https://cdn01.pharmeasy.in/dam/products_otc/E34698/pure-nutrition-vitamin-c-l-vitamin-c-tablets-for-immunity-glowing-skin-l-60-tablets-2-1676281059.jpg?dim=700x0&dpr=1&q=100
Healthkart Hk Vitals Marine Collagen Supplement (Watermelon | 200g) |Vitamin C | E,₹1099,https://cdn01.pharmeasy.in/dam/products_otc/K15204/healthkart-hk-vitals-skin-radiance-collagen-powder-watermelon-jar-200-gm-2-1727134596.jpg?dim=700x0&dpr=1&q=100
"Jubilant Nutrihance Omega Max Fish Oil Capsule For Men And Women, 30 Softgel Capsules",₹670,https://cdn01.pharmeasy.in/dam/products_otc/C76327/jubilant-nutrihance-omega-max-fish-oil-capsule-for-men-and-women-30-softgel-capsules-2-1722690097.jpg?dim=700x0&dpr=1&q=100
My Natural Haemoglobin Support |Right Health| Plant-Based Iron Supplement With Folic Acid,₹499,https://cdn01.pharmeasy.in/dam/products_otc/G55961/my-natural-haemoglobin-support-right-health-plant-based-iron-supplement-with-folic-acid-2-1720411275.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Joint Support - Maintains Joints Mobility - Bone & Joint Health - Bottle Of 60,₹799,https://cdn01.pharmeasy.in/dam/products_otc/B19345/pharmeasy-joint-support-maintains-joints-mobility-bone-joint-health-bottle-of-60-6.1-1736411235.jpg?dim=700x0&dpr=1&q=100
Inlife Calcium Magnesium Zinc Vitamin D K2 Folic Acid & B12- Bone & Joint Supplement- 120 Tablets,₹899,https://cdn01.pharmeasy.in/dam/products_otc/X13947/inlife-calcium-magnesium-zinc-vitamin-d-k2-folic-acid-b12-bone-joint-supplement-120-tablets-2-1727133826.jpg?dim=700x0&dpr=1&q=100
Nutrija Eca Plus - Strongest Eca Version Stack Of 10 Powerful Weight Loss Ingredients - 60 Servings,₹1999,https://cdn01.pharmeasy.in/dam/products_otc/W20097/nutrija-eca-plus-strongest-eca-version-stack-of-10-powerful-weight-loss-ingredients-60-servings-2-1711959927.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Vitamin B Complex With Folic Acid - Improves Energy - Heart & Eye Health - Bottle Of 60,₹649,https://cdn01.pharmeasy.in/dam/products_otc/P71315/pharmeasy-vitamin-b-complex-with-folic-acid-improves-energy-heart-eye-health-bottle-of-60-6.1-1733729443.jpg?dim=700x0&dpr=1&q=100
Dr. Morepen Iron & Zinc Tablets With Vitamin C & B12 Hemoglobin Booster - 60 Veg Tablets,₹599,https://cdn01.pharmeasy.in/dam/products_otc/O04008/dr-morepen-iron-zinc-tablets-with-vitamin-c-b12-hemoglobin-booster-60-veg-tablets-2-1692775649.jpg?dim=700x0&dpr=1&q=100
Dr. Morepen Omega 3 Deep Sea Fish Oil With 300 Mg Dha | & Vitamin A | D3 | E & K27|60 Softgel,₹549,https://cdn01.pharmeasy.in/dam/products_otc/H17951/dr-morepen-omega-3-deep-sea-fish-oil-with-300-mg-dha-vitamin-a-d3-e-k2760-softgel-2-1704787439.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60,₹599,https://cdn01.pharmeasy.in/dam/products_otc/G67452/pharmeasy-calcium-magnesium-vitamin-d3-zinc-bones-dental-health-bottle-60-6.1-1731322464.jpg?dim=700x0&dpr=1&q=100
Vidavance Advanced Chocolate Diabetes Care Powder Jar Of 200 G,₹540,https://cdn01.pharmeasy.in/dam/products_otc/I46318/vidavance-advanced-chocolate-diabetes-care-powder-jar-of-200-g-6.1-1724920823.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Glutathione - Promotes Healthy Skin - Reverses Signs Of Ageing - Bottle Of 30,₹1399,https://cdn01.pharmeasy.in/dam/products_otc/G70731/pharmeasy-glutathione-promotes-healthy-skin-reverses-signs-of-ageing-bottle-of-30-6.1-1731324402.jpg?dim=700x0&dpr=1&q=100
Healthkart Hk Vitals Multivitamin (60 Tablets) | For Men And Women | With Zinc | Vitamin C,₹529,https://cdn01.pharmeasy.in/dam/products_otc/K35832/healthkart-hk-vitals-multivitamin-tablets-immunity-amino-acids-bottle-60-count-2-1727134517.jpg?dim=700x0&dpr=1&q=100
D-Protin Vanilla Flavour Sugar Free Diabetes Care Powder Bottle Of 200gm,₹325,https://cdn01.pharmeasy.in/dam/products_otc/051140/d-protin-vanilla-flavour-sugar-free-diabetes-care-powder-bottle-of-200gm-2-1729512489.jpg?dim=700x0&dpr=1&q=100
Celevida Nutrition Drink For Diabetes Care & Immunity Support Kesar Elaichi - 200g,₹460,https://cdn01.pharmeasy.in/dam/products_otc/M95641/dr-reddys-celevida-nutrition-drink-for-diabetes-care-immunity-support-kesar-elaichi-200g-2-1671712001.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,₹799,https://cdn01.pharmeasy.in/dam/products_otc/Z08870/pharmeasy-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-6.01-1736147742.jpg?dim=700x0&dpr=1&q=100
Neurobion Forte Strip Of 30 Tablets,₹46.1,https://cdn01.pharmeasy.in/dam/products_otc/I09432/neurobion-forte-strip-of-30-tablets-6.1-1739595115.jpg?dim=700x0&dpr=1&q=100
Fij Ayurveda Omega 3 Fish Oil (180 Mg Epa & 120 Mg Dha) - 500mg 60 Softgel Capsules,₹699,https://cdn01.pharmeasy.in/dam/products_otc/F80949/fij-ayurveda-omega-3-fish-oil-180-mg-epa-120-mg-dha-500mg-60-softgel-capsules-2-1717743550.jpg?dim=700x0&dpr=1&q=100
Kapiva Organic Gulkand - Natural Rich In Calcium And Antioxidants - 300g,₹549,https://cdn01.pharmeasy.in/dam/products_otc/C84763/kapiva-organic-gulkand-natural-rich-in-calcium-and-antioxidants-300g-2-1671742489.jpg?dim=700x0&dpr=1&q=100
Pure Nutrition Magnesium Glycinate Tablets For Bone And Muscle Health 60 Veg Tablets,₹649,https://cdn01.pharmeasy.in/dam/products_otc/G02571/pure-nutrition-magnesium-glycinate-tablets-for-bone-and-muscle-health-60-veg-tablets-2-1677732518.jpg?dim=700x0&dpr=1&q=100
Melatonin 3 Mg For Sleep Aid,₹750,https://cdn01.pharmeasy.in/dam/products_otc/Z12582/melatonin-3-mg-for-sleep-aid-2-1710317803.jpg?dim=700x0&dpr=1&q=100
Briyocal D3 60k - Vitamin D3 (Choleclaciferol) 60000 Iu - 4 Caspules For Once A Week Use,₹99,https://cdn01.pharmeasy.in/dam/products_otc/D23875/briyocal-d3-60k-vitamin-d3-choleclaciferol-60000-iu-4-caspules-for-once-a-week-use-2-1691046886.jpg?dim=700x0&dpr=1&q=100
Ensure Diabetes Care Specialized Nutrition Drink Vanilla - 1kg Box,₹2120,https://cdn01.pharmeasy.in/dam/products_otc/W14725/ensure-diabetes-care-specialized-nutrition-drink-vanilla-1kg-box-1-1697098358.jpg?dim=700x0&dpr=1&q=100
