name,price,image_URL
Strianil Anti Stretch Mark Cream 50 G,₹299.5,https://cdn01.pharmeasy.in/dam/products_otc/F61240/strianil-anti-stretch-mark-cream-50-g-1-1671743430.jpg?dim=700x0&dpr=1&q=100
Mom & World Reusable Menstrual Cup For Women Odor And Rash Free No Leakage (Medium) X Pack Of 2,₹798,https://cdn01.pharmeasy.in/dam/products_otc/P58259/mom-world-reusable-menstrual-cup-for-women-odor-and-rash-free-no-leakage-medium-x-pack-of-2-2-1681452178.jpg?dim=700x0&dpr=1&q=100
R For Rabbit First Feed Pure,₹2997,https://cdn01.pharmeasy.in/dam/products_otc/J64189/r-for-rabbit-first-feed-pure-2-1710155533.jpg?dim=700x0&dpr=1&q=100
Sirona Premium Applicator Tampons Super Plus Heavy Flow - 16 Pcs,₹720,https://cdn01.pharmeasy.in/dam/products_otc/I48455/sirona-premium-applicator-tampons-super-plus-heavy-flow-16-pcs-2-1669711343.jpg?dim=700x0&dpr=1&q=100
Pee Safe Aloe Vera Panty Liners Xl 20n,N/A,https://cdn01.pharmeasy.in/dam/products_otc/K95119/pee-safe-aloe-vera-panty-liners-xl-20n-2-1721023634.jpg?dim=700x0&dpr=1&q=100
Everteen Xxl Sanitary Napkin Pads With Cottony-Soft Top Layer For Women 2 Packs | 320mm,₹798,https://cdn01.pharmeasy.in/dam/products_otc/R68941/everteen-xxl-sanitary-napkin-pads-with-cottony-soft-top-layer-for-women-2-packs-320mm-2-1695795164.jpg?dim=700x0&dpr=1&q=100
Peesafe Toilet Seat Sanitizer Spray (75 Ml) - Mint Reduces The Risk Of Uti & Other Infections,₹180,https://cdn01.pharmeasy.in/dam/products_otc/G72949/peesafe-toilet-seat-sanitizer-spray-75-ml-mint-reduces-the-risk-of-uti-other-infections-2-1690436449.jpg?dim=700x0&dpr=1&q=100
"Everteen Daily Panty Liners With Antibacterial Strip|Light Discharge & Leakage - 4 Packs, 36pcs Each",₹796,https://cdn01.pharmeasy.in/dam/products_otc/U73044/everteen-daily-panty-liners-with-antibacterial-striplight-discharge-leakage-4-packs-36pcs-each-2-1684906098.jpg?dim=700x0&dpr=1&q=100
Codesoft Clear Cream 50 Gm,₹535,https://cdn01.pharmeasy.in/dam/products_otc/I27836/codesoft-clear-cream-50-gm-1-1679564349.jpg?dim=700x0&dpr=1&q=100
Skore Cool Sensation Lubricant Bottle Of 50 Ml,₹300,https://cdn01.pharmeasy.in/dam/products_otc/I38167/skore-cool-sensation-lubricant-bottle-of-50-ml-2-1669710391.jpg?dim=700x0&dpr=1&q=100
