Name,Price,Image URL
Baidyanath Chyawanprash Special - Immunity & Omniprotection | 52 Ayurvedic Ingredients - 950g,₹410,https://cdn01.pharmeasy.in/dam/products_otc/I41645/baidyanath-chyawanprash-special-immunity-omniprotection-52-ayurvedic-ingredients-950g-2-1734002607.jpg?dim=700x0&dpr=1&q=100
Jointace C2 Plus Strip Of 10 Tablets,₹500,https://cdn01.pharmeasy.in/dam/products_otc/I01561/jointace-c2-plus-strip-of-10-tablets-2-1671741089.jpg?dim=700x0&dpr=1&q=100
Gas-O-Fast Active Ajwain Antacid Sachet Of 5 G,₹10,https://cdn01.pharmeasy.in/dam/products_otc/I15443/gas-o-fast-active-ajwain-antacid-sachet-of-5-g-2-1669710219.jpg?dim=700x0&dpr=1&q=100
Baidyanath Nagpur Karela Jamun Juice 1 Litre No Added Sugar Healthy Blood Sugar Management,₹325,https://cdn01.pharmeasy.in/dam/products_otc/O23274/baidyanath-nagpur-karela-jamun-juice-1-litre-no-added-sugar-healthy-blood-sugar-management-2-1711710422.jpg?dim=700x0&dpr=1&q=100
Gas-O-Fast Active Jeera Antacid Sachet Of 5 G,₹10,https://cdn01.pharmeasy.in/dam/products_otc/I34550/gas-o-fast-active-jeera-antacid-sachet-of-5-g-2-1669710384.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 120,₹1299,https://cdn01.pharmeasy.in/dam/products_otc/Q90234/pharmeasy-multivitamin-multimineral-immunity-booster-complete-nutrition-bottle-of-120-2-1675318327.jpg?dim=700x0&dpr=1&q=100
Eyemist Eye Drops 10ml,₹229,https://cdn01.pharmeasy.in/dam/products/072460/eyemist-eye-drops-10ml-1-1641536014.jpg?dim=700x0&dpr=1&q=100
Eyemist Forte Eye Drops 10ml,₹279,https://cdn01.pharmeasy.in/dam/products/072462/eyemist-forte-eye-drops-10ml-1-1641535650.jpg?dim=700x0&dpr=1&q=100
Volini Pain Relief Gel Tube Of 50 G,₹205,https://cdn01.pharmeasy.in/dam/products_otc/183151/volini-pain-relief-gel-tube-of-50-g-6.1-1712726398.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Ashwagandha-Immunity Booster Capsules-Anxiety & Stress Relief - Bottle Of 90,₹799,https://cdn01.pharmeasy.in/dam/products_otc/P54860/everherb-by-pharmeasy-ashwagandha-immunity-booster-capsules-anxiety-stress-relief-bottle-of-90-6.01-1733479691.jpg?dim=700x0&dpr=1&q=100
Kapiva Get Slim Juice - 1l | Helps Burn Fat Naturally | Goodness Of 12 Ayurvedic Herbs,N/A,https://cdn01.pharmeasy.in/dam/products_otc/I10586/kapiva-get-slim-juice-1l-helps-burn-fat-naturally-goodness-of-12-ayurvedic-herbs-2-1685360915.jpg?dim=700x0&dpr=1&q=100
Depiwhite Tube Of 15ml Eye Contour Gel,₹746,https://cdn01.pharmeasy.in/dam/products_otc/I04064/depiwhite-tube-of-15ml-eye-contour-gel-6.01-1721396444.jpg?dim=700x0&dpr=1&q=100
Omnigel Spray 55gm,₹239.58,https://cdn01.pharmeasy.in/dam/products_otc/266947/omnigel-spray-55gm-2-1671740849.jpg?dim=700x0&dpr=1&q=100
Dr Ortho An Ayurvedic Medicine Oil Bottle Of 60 Ml,₹158,https://cdn01.pharmeasy.in/dam/products_otc/E07416/dr-ortho-an-ayurvedic-medicine-oil-bottle-of-60-ml-2-1688467959.jpg?dim=700x0&dpr=1&q=100
Baidyanath Amla Juice 1 L - Natural Immunity Booster Enriched With Vitamin C No Added Sugar,₹240,https://cdn01.pharmeasy.in/dam/products_otc/M48761/baidyanath-amla-juice-1-l-natural-immunity-booster-enriched-with-vitamin-c-no-added-sugar-2-1702624782.jpg?dim=700x0&dpr=1&q=100
Nutriorg Triphala Juice 500ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/R58701/nutriorg-triphala-juice-500ml-2-1677731808.jpg?dim=700x0&dpr=1&q=100
Baidyanath Nagpur Mahamanjisthadi Kadha Ayurvedic Blood Purifier Syrup 450 Ml,₹250,https://cdn01.pharmeasy.in/dam/products_otc/U65148/baidyanath-nagpur-mahamanjisthadi-kadha-ayurvedic-blood-purifier-syrup-450-ml-2-1671744294.jpg?dim=700x0&dpr=1&q=100
Patanjali Divya Kayakalp Vati Extra Power 160 Tablets,N/A,https://cdn01.pharmeasy.in/dam/products_otc/L14202/patanjali-divya-kayakalp-vati-extra-power-160-tablets-2-1643173526.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Neem - Immunity Booster - Hair & Skin Detoxifier - Bottle Of 60,₹599,https://cdn01.pharmeasy.in/dam/products_otc/D41806/everherb-by-pharmeasy-neem-immunity-booster-hair-skin-detoxifier-bottle-of-60-6.1-1732283466.jpg?dim=700x0&dpr=1&q=100
Dhootapapeshwar Shilapravang Special - 30 Tablets,₹830,https://cdn01.pharmeasy.in/dam/products_otc/B78337/dhootapapeshwar-shilapravang-special-30-tablets-2-1671742251.jpg?dim=700x0&dpr=1&q=100
Naturolax A Tasty Orange Flavour Powder For Constipation With 10% Extra-110gm,₹195,https://cdn01.pharmeasy.in/dam/products_otc/T14174/naturolax-a-tasty-orange-flavour-powder-for-constipation-with-10-extra-110gm-2-1680098309.jpg?dim=700x0&dpr=1&q=100
Baidyanath Sugarfree Chyawanvit - Sugarfree Chyawanprash To Boost Immunity Increase Stamina - 1kg,₹460,https://cdn01.pharmeasy.in/dam/products_otc/I41647/baidyanath-sugarfree-chyawanvit-sugarfree-chyawanprash-to-boost-immunity-increase-stamina-1kg-2-1669711228.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Flaxseed Omega 3 - Essential Fatty Acids - Healthy Heart - Bottle Of 60,₹799,https://cdn01.pharmeasy.in/dam/products_otc/D64484/everherb-by-pharmeasy-flaxseed-omega-3-essential-fatty-acids-healthy-heart-bottle-of-60-6.01-1727327323.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 120,₹899,https://cdn01.pharmeasy.in/dam/products_otc/Q97636/pharmeasy-calcium-magnesium-vitamin-d3-zinc-bones-dental-health-bottle-120-6.1-1731326159.jpg?dim=700x0&dpr=1&q=100
Volini Maxx Pain Relief Spray Bottle Of 55 G,₹239,https://cdn01.pharmeasy.in/dam/products_otc/I35531/volini-maxx-pain-relief-spray-bottle-of-55-g-2-1669710479.jpg?dim=700x0&dpr=1&q=100
Himalaya Septilin Tablets - 60'S,₹220,https://cdn01.pharmeasy.in/dam/products_otc/158085/himalaya-septilin-tablets-60s-2-1671741075.jpg?dim=700x0&dpr=1&q=100
Dabur Shilajit Gold Vitality Capsules Bottle Of 20,₹550,https://cdn01.pharmeasy.in/dam/products_otc/204180/dabur-shilajit-gold-vitality-capsules-bottle-of-20-1-1669655033.jpg?dim=700x0&dpr=1&q=100
Pankajakasthuri Orthoherb Tablets For Joint Pain Relief - Strip Of 60 Tablets,₹330,https://cdn01.pharmeasy.in/dam/products/I09207/orthoherb-tab-60s-3-1641536403.jpg?dim=700x0&dpr=1&q=100
Baidyanath Nagpur Aloe Vera Juice With Pulp Boost Immunity Better Digestion No Added Sugar - 1 L,₹250,https://cdn01.pharmeasy.in/dam/products_otc/B21539/baidyanath-nagpur-aloe-vera-juice-with-pulp-boost-immunity-better-digestion-no-added-sugar-1-l-2-1721364208.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Vitamin B Complex With Folic Acid - Improves Energy - Heart & Eye Health - Bottle Of 60,₹649,https://cdn01.pharmeasy.in/dam/products_otc/P71315/pharmeasy-vitamin-b-complex-with-folic-acid-improves-energy-heart-eye-health-bottle-of-60-6.1-1733729443.jpg?dim=700x0&dpr=1&q=100
Aimil Neeri Kft Sugar Free Bottle Of 200ml Syrup,₹625,https://cdn01.pharmeasy.in/dam/products_otc/I03097/aimil-neeri-kft-sugar-free-bottle-of-200ml-syrup-6.1-1723896572.jpg?dim=700x0&dpr=1&q=100
Everherb (By Pharmeasy) Diabetic Care - Bottle Of 60,₹999,https://cdn01.pharmeasy.in/dam/products_otc/F14789/everherb-by-pharmeasy-diabetic-care-bottle-of-60-6.01-1741171891.jpg?dim=700x0&dpr=1&q=100
Pharmeasy Orthopaedic Electric Heat Belt - Extra Large,₹1099,https://cdn01.pharmeasy.in/dam/products_otc/G92287/pharmeasy-orthopaedic-electric-heat-belt-extra-large-6.01-1727327367.jpg?dim=700x0&dpr=1&q=100
Dr Ortho Pain Relief Ointment Tube Of 30 G,₹98,https://cdn01.pharmeasy.in/dam/products_otc/I32521/dr-ortho-pain-relief-ointment-tube-of-30-g-3-1685606353.jpg?dim=700x0&dpr=1&q=100
Kapiva Aloe Vera + Amla Juice Boosts Immunity - No Added Sugar - 1 L,₹500,https://cdn01.pharmeasy.in/dam/products_otc/I37836/kapiva-aloe-vera-amla-juice-boosts-immunity-no-added-sugar-1-l-2-1685360457.jpg?dim=700x0&dpr=1&q=100
Aptivate Tasty Pineapple Appetite Stimulating Syrup Bottle Of 175 Ml,₹169.5,https://cdn01.pharmeasy.in/dam/products_otc/013240/aptivate-tasty-pineapple-appetite-stimulating-syrup-bottle-of-175-ml-2-1729346827.jpg?dim=700x0&dpr=1&q=100
Adel 61 Supren Drops 20 Ml,N/A,https://cdn01.pharmeasy.in/dam/products_otc/J50737/adel-61-supren-drops-20-ml-1-1671741691.jpg?dim=700x0&dpr=1&q=100
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1l,₹399,https://cdn01.pharmeasy.in/dam/products_otc/L79986/everherb-karela-jamun-juice-helps-maintains-healthy-sugar-levels-helps-in-weight-management-1l-2-1723875556.jpg?dim=700x0&dpr=1&q=100
Dabur Hajmola Tablets Regular 120 Tablets,₹70,https://cdn01.pharmeasy.in/dam/products_otc/051335/dabur-hajmola-tablets-regular-120-tablets-2-1684389169.jpg?dim=700x0&dpr=1&q=100
Liveasy Ortho Care Knee Cap (Pair) - Modern Orthopedic Solution - Medium,₹409,https://cdn01.pharmeasy.in/dam/products_otc/S85769/liveasy-ortho-care-knee-cap-pair-modern-orthopedic-solution-medium-1-1655732924.jpg?dim=700x0&dpr=1&q=100
New Freeflex Forte Strip Of 15 Tablets,₹943,https://cdn01.pharmeasy.in/dam/products/P47563/new-freeflex-forte-tablet-15-nos-2-1681803714.jpg?dim=700x0&dpr=1&q=100
