Name,Price,Image URL
Undry Facial Moisturizer For Dry Skin 80ml Moist For Face With Sunscreen Spf30 | Ceramide | Aloe,₹379,https://cdn01.pharmeasy.in/dam/products_otc/V96530/undry-facial-moisturizer-for-dry-skin-80ml-moisturizer-for-face-with-sunscreen-spf30-ceramide-aloe-2-1681273232.jpg?dim=700x0&dpr=1&q=100
Chemist At Play Exfoliating Body Wash With Ceramides | Gently Exfoliates & Makes Skin Smooth 236 Ml,₹399,https://cdn01.pharmeasy.in/dam/products_otc/N85922/chemist-at-play-exfoliating-body-wash-with-ceramides-gently-exfoliates-makes-skin-smooth-236-ml-2-1710160348.jpg?dim=700x0&dpr=1&q=100
Mankind Acnestar Unisex Face Wash - (50 Gr 3 Pc),₹450,https://cdn01.pharmeasy.in/dam/products_otc/H28335/mankind-acnestar-unisex-face-wash-50-gr-3-pc-2-1686549141.jpg?dim=700x0&dpr=1&q=100
Cetaphil Moisturising Cream - 250g,₹1349,https://cdn01.pharmeasy.in/dam/products_otc/I41952/cetaphil-moisturising-cream-250g-2-1669710763.jpg?dim=700x0&dpr=1&q=100
Candid Multi Benefit Soap | Bar | Box | 125 Gm,₹214,https://cdn01.pharmeasy.in/dam/products_otc/Q41520/new-candid-multi-benefit-125gm-soap-pack-of-1-2-1690889876.jpg?dim=700x0&dpr=1&q=100
Papulex Cleansing Gel 100ml,₹660,https://cdn01.pharmeasy.in/dam/products_otc/228080/papulex-cleansing-gel-100ml-2-1671740922.jpg?dim=700x0&dpr=1&q=100
Cos-Iq Niacinamide Vitamin B3-20% High Dose Face Serum 30ml 4% Multi-Peptide Complex And 2% Ha,₹699,https://cdn01.pharmeasy.in/dam/products_otc/V69521/cos-iq-niacinamide-vitamin-b3-20-high-dose-face-serum-30ml-4-multi-peptide-complex-and-2-ha-2-1666790675.jpg?dim=700x0&dpr=1&q=100
Nivea Body Milk Lotion 400ml,₹495,https://cdn01.pharmeasy.in/dam/products_otc/124293/nivea-body-milk-lotion-400ml-2-1679372115.jpg?dim=700x0&dpr=1&q=100
Oryza Skin Moisturiser Gel 50 G,₹895,https://cdn01.pharmeasy.in/dam/products_otc/C03969/oryza-skin-moisturiser-gel-50-g-2-1697540277.jpg?dim=700x0&dpr=1&q=100
Cetaphil Sun Spf 30 Gel - 100ml,₹1200,https://cdn01.pharmeasy.in/dam/products_otc/W91249/cetaphil-sun-spf-30-gel-100ml-2-1671742342.jpg?dim=700x0&dpr=1&q=100
